"condition_id","true_delta","drift_type","drift_magnitude","drift_speed","type_I_error","type_II_error","power","inconclusive","median_n","mean_n"
7,0,"none",0,Inf,0.033,NA,NA,0.043,152,191.8765
16,0,"gradual",0.1,10,0.051,NA,NA,0.0685,165,211.163
52,0,"sudden",0.1,10,0.04,NA,NA,0.0775,201,243.5415
34,0,"gradual",0.1,50,0.036,NA,NA,0.064,160,207.1735
70,0,"sudden",0.1,50,0.042,NA,NA,0.092,204,251.345
22,0,"gradual",0.3,10,0.0355,NA,NA,0.1695,211,269.172
58,0,"sudden",0.3,10,0.0435,NA,NA,0.3705,442,430.7455
40,0,"gradual",0.3,50,0.0305,NA,NA,0.1405,195,253.7585
76,0,"sudden",0.3,50,0.047,NA,NA,0.414,455,433.5545
25,0,"gradual",0.6,10,0.0455,NA,NA,0.9545,500,484.0205
61,0,"sudden",0.6,10,0.037,NA,NA,0.963,500,487.067
43,0,"gradual",0.6,50,0.042,NA,NA,0.958,500,484.897
79,0,"sudden",0.6,50,0.047,NA,NA,0.953,500,482.6985
8,0.2,"none",0,Inf,NA,0.059,0.9065,0.0345,169,194.0305
17,0.2,"gradual",0.1,10,NA,0.048,0.9125,0.0395,169.5,196.983
53,0.2,"sudden",0.1,10,NA,0.026,0.929,0.045,182,205.9885
35,0.2,"gradual",0.1,50,NA,0.0465,0.913,0.0405,171,196.289
71,0.2,"sudden",0.1,50,NA,0.018,0.932,0.05,181,206.1785
23,0.2,"gradual",0.3,10,NA,0.023,0.932,0.045,180,203.2145
59,0.2,"sudden",0.3,10,NA,5e-04,0.9405,0.059,176,203.3845
41,0.2,"gradual",0.3,50,NA,0.02,0.9385,0.0415,181,202.1145
77,0.2,"sudden",0.3,50,NA,0,0.9525,0.0475,170.5,200.679
26,0.2,"gradual",0.6,10,NA,0,0.973,0.027,184,202.322
62,0.2,"sudden",0.6,10,NA,0,0.9685,0.0315,174,198.4065
44,0.2,"gradual",0.6,50,NA,0,0.9585,0.0415,186,204.7265
80,0.2,"sudden",0.6,50,NA,0,0.97,0.03,164,189.852
9,0.5,"none",0,Inf,NA,0,1,0,33,39.724
18,0.5,"gradual",0.1,10,NA,0,1,0,32,39.24
54,0.5,"sudden",0.1,10,NA,0,1,0,33,39.337
36,0.5,"gradual",0.1,50,NA,0,1,0,33,39.226
72,0.5,"sudden",0.1,50,NA,0,1,0,33,39.2845
24,0.5,"gradual",0.3,10,NA,0,1,0,33,39.393
60,0.5,"sudden",0.3,10,NA,0,1,0,32,38.546
42,0.5,"gradual",0.3,50,NA,0,1,0,33,39.3605
78,0.5,"sudden",0.3,50,NA,0,1,0,32,38.458
27,0.5,"gradual",0.6,10,NA,0,1,0,32,39.0505
63,0.5,"sudden",0.6,10,NA,0,1,0,38,42.841
45,0.5,"gradual",0.6,50,NA,0,1,0,33,38.7065
81,0.5,"sudden",0.6,50,NA,0,1,0,33,39.7385
