"condition_id","true_delta","prior_r0","drift_type","drift_magnitude","drift_speed","type_I_error","type_II_error","power","inconclusive","median_n","mean_n"
1,0,0.3,"none",0,Inf,0.049,NA,NA,0.951,500,481.485
10,0,0.3,"gradual",0.1,10,0.0425,NA,NA,0.9575,500,483.912
46,0,0.3,"sudden",0.1,10,0.046,NA,NA,0.954,500,483.0165
28,0,0.3,"gradual",0.1,50,0.0505,NA,NA,0.9495,500,481.3435
64,0,0.3,"sudden",0.1,50,0.0465,NA,NA,0.9535,500,482.226
2,0.2,0.3,"none",0,Inf,NA,0,0.95,0.05,175,202.691
11,0.2,0.3,"gradual",0.1,10,NA,0,0.9715,0.0285,165,188.9
47,0.2,0.3,"sudden",0.1,10,NA,0,0.963,0.037,163,190.045
29,0.2,0.3,"gradual",0.1,50,NA,0,0.956,0.044,164,193.87
65,0.2,0.3,"sudden",0.1,50,NA,0,0.963,0.037,164,189.651
3,0.5,0.3,"none",0,Inf,NA,0,1,0,33,38.6905
12,0.5,0.3,"gradual",0.1,10,NA,0,1,0,34,39.116
48,0.5,0.3,"sudden",0.1,10,NA,0,1,0,35,40.1235
30,0.5,0.3,"gradual",0.1,50,NA,0,1,0,33,38.6145
66,0.5,0.3,"sudden",0.1,50,NA,0,1,0,33,38.716
4,0,0.5,"none",0,Inf,0.044,NA,NA,0.19,304,336.836
13,0,0.5,"gradual",0.1,10,0.0465,NA,NA,0.3275,399,403.0435
49,0,0.5,"sudden",0.1,10,0.044,NA,NA,0.408,458,439.632
31,0,0.5,"gradual",0.1,50,0.0445,NA,NA,0.339,398,402.2545
67,0,0.5,"sudden",0.1,50,0.0435,NA,NA,0.4205,462,439.806
19,0,0.5,"gradual",0.3,10,0.0505,NA,NA,0.9495,500,480.976
55,0,0.5,"sudden",0.3,10,0.041,NA,NA,0.959,500,484.6305
37,0,0.5,"gradual",0.3,50,0.0435,NA,NA,0.9565,500,482.478
73,0,0.5,"sudden",0.3,50,0.048,NA,NA,0.952,500,482.292
5,0.2,0.5,"none",0,Inf,NA,0.0055,0.9405,0.054,186,209.1225
14,0.2,0.5,"gradual",0.1,10,NA,0.0025,0.949,0.0485,176.5,206.131
50,0.2,0.5,"sudden",0.1,10,NA,0,0.95,0.05,176.5,200.947
32,0.2,0.5,"gradual",0.1,50,NA,0.0015,0.944,0.0545,180,203.7215
68,0.2,0.5,"sudden",0.1,50,NA,0,0.95,0.05,174,201.5315
20,0.2,0.5,"gradual",0.3,10,NA,0,0.957,0.043,177,201.3915
56,0.2,0.5,"sudden",0.3,10,NA,0,0.9545,0.0455,168,195.552
38,0.2,0.5,"gradual",0.3,50,NA,0,0.962,0.038,177.5,198.9855
74,0.2,0.5,"sudden",0.3,50,NA,0,0.9605,0.0395,170,195.695
6,0.5,0.5,"none",0,Inf,NA,0,1,0,32,39.2755
15,0.5,0.5,"gradual",0.1,10,NA,0,1,0,32,38.229
51,0.5,0.5,"sudden",0.1,10,NA,0,1,0,33,39.0485
33,0.5,0.5,"gradual",0.1,50,NA,0,1,0,33,38.6835
69,0.5,0.5,"sudden",0.1,50,NA,0,1,0,33,38.7455
21,0.5,0.5,"gradual",0.3,10,NA,0,1,0,32,38.721
57,0.5,0.5,"sudden",0.3,10,NA,0,1,0,35,40.2935
39,0.5,0.5,"gradual",0.3,50,NA,0,1,0,32,38.1115
75,0.5,0.5,"sudden",0.3,50,NA,0,1,0,33,39.0575
7,0,0.707,"none",0,Inf,0.033,NA,NA,0.043,152,191.8765
16,0,0.707,"gradual",0.1,10,0.051,NA,NA,0.0685,165,211.163
52,0,0.707,"sudden",0.1,10,0.04,NA,NA,0.0775,201,243.5415
34,0,0.707,"gradual",0.1,50,0.036,NA,NA,0.064,160,207.1735
70,0,0.707,"sudden",0.1,50,0.042,NA,NA,0.092,204,251.345
22,0,0.707,"gradual",0.3,10,0.0355,NA,NA,0.1695,211,269.172
58,0,0.707,"sudden",0.3,10,0.0435,NA,NA,0.3705,442,430.7455
40,0,0.707,"gradual",0.3,50,0.0305,NA,NA,0.1405,195,253.7585
76,0,0.707,"sudden",0.3,50,0.047,NA,NA,0.414,455,433.5545
25,0,0.707,"gradual",0.6,10,0.0455,NA,NA,0.9545,500,484.0205
61,0,0.707,"sudden",0.6,10,0.037,NA,NA,0.963,500,487.067
43,0,0.707,"gradual",0.6,50,0.042,NA,NA,0.958,500,484.897
79,0,0.707,"sudden",0.6,50,0.047,NA,NA,0.953,500,482.6985
8,0.2,0.707,"none",0,Inf,NA,0.059,0.9065,0.0345,169,194.0305
17,0.2,0.707,"gradual",0.1,10,NA,0.048,0.9125,0.0395,169.5,196.983
53,0.2,0.707,"sudden",0.1,10,NA,0.026,0.929,0.045,182,205.9885
35,0.2,0.707,"gradual",0.1,50,NA,0.0465,0.913,0.0405,171,196.289
71,0.2,0.707,"sudden",0.1,50,NA,0.018,0.932,0.05,181,206.1785
23,0.2,0.707,"gradual",0.3,10,NA,0.023,0.932,0.045,180,203.2145
59,0.2,0.707,"sudden",0.3,10,NA,5e-04,0.9405,0.059,176,203.3845
41,0.2,0.707,"gradual",0.3,50,NA,0.02,0.9385,0.0415,181,202.1145
77,0.2,0.707,"sudden",0.3,50,NA,0,0.9525,0.0475,170.5,200.679
26,0.2,0.707,"gradual",0.6,10,NA,0,0.973,0.027,184,202.322
62,0.2,0.707,"sudden",0.6,10,NA,0,0.9685,0.0315,174,198.4065
44,0.2,0.707,"gradual",0.6,50,NA,0,0.9585,0.0415,186,204.7265
80,0.2,0.707,"sudden",0.6,50,NA,0,0.97,0.03,164,189.852
9,0.5,0.707,"none",0,Inf,NA,0,1,0,33,39.724
18,0.5,0.707,"gradual",0.1,10,NA,0,1,0,32,39.24
54,0.5,0.707,"sudden",0.1,10,NA,0,1,0,33,39.337
36,0.5,0.707,"gradual",0.1,50,NA,0,1,0,33,39.226
72,0.5,0.707,"sudden",0.1,50,NA,0,1,0,33,39.2845
24,0.5,0.707,"gradual",0.3,10,NA,0,1,0,33,39.393
60,0.5,0.707,"sudden",0.3,10,NA,0,1,0,32,38.546
42,0.5,0.707,"gradual",0.3,50,NA,0,1,0,33,39.3605
78,0.5,0.707,"sudden",0.3,50,NA,0,1,0,32,38.458
