"row_id","prior_r0","drift_magnitude","drift_speed","drift_type","bf_threshold","achieved_typeI","n_iter","stop_reason","baseline_bf","correction_factor"
1,0.3,0,Inf,"none",10.541015625,0.054,9,"converged",10.541015625,1
2,0.5,0,Inf,"none",6.48046875,0.0495,8,"converged",6.48046875,1
3,0.707,0,Inf,"none",5.3203125,0.054,7,"converged",5.3203125,1
4,0.3,0.1,10,"gradual",9.9609375,0.0475,7,"converged",10.541015625,0.9449694274597
5,0.5,0.1,10,"gradual",8.80078125,0.048,8,"converged",6.48046875,1.35804701627486
6,0.707,0.1,10,"gradual",7.640625,0.047,6,"converged",5.3203125,1.43612334801762
7,0.5,0.3,10,"gradual",9.9609375,0.0465,7,"converged",6.48046875,1.5370705244123
8,0.707,0.3,10,"gradual",7.640625,0.0525,6,"converged",5.3203125,1.43612334801762
9,0.707,0.6,10,"gradual",9.0908203125,0.05,10,"converged",5.3203125,1.70870044052863
10,0.3,0.1,50,"gradual",8.80078125,0.047,8,"converged",10.541015625,0.8349082823791
11,0.5,0.1,50,"gradual",7.640625,0.0535,6,"converged",6.48046875,1.17902350813743
12,0.707,0.1,50,"gradual",7.640625,0.0475,6,"converged",5.3203125,1.43612334801762
13,0.5,0.3,50,"gradual",9.380859375,0.051,9,"converged",6.48046875,1.44755877034358
14,0.707,0.3,50,"gradual",6.48046875,0.0515,8,"converged",5.3203125,1.21806167400881
15,0.707,0.6,50,"gradual",7.640625,0.0485,6,"converged",5.3203125,1.43612334801762
16,0.3,0.1,10,"sudden",9.9609375,0.0525,7,"converged",10.541015625,0.9449694274597
17,0.5,0.1,10,"sudden",8.220703125,0.054,9,"converged",6.48046875,1.26853526220615
18,0.707,0.1,10,"sudden",6.48046875,0.052,8,"converged",5.3203125,1.21806167400881
19,0.5,0.3,10,"sudden",8.80078125,0.048,8,"converged",6.48046875,1.35804701627486
20,0.707,0.3,10,"sudden",9.9609375,0.047,7,"converged",5.3203125,1.87224669603524
21,0.707,0.6,10,"sudden",7.640625,0.052,6,"converged",5.3203125,1.43612334801762
22,0.3,0.1,50,"sudden",10.541015625,0.0525,9,"converged",10.541015625,1
23,0.5,0.1,50,"sudden",9.9609375,0.0465,7,"converged",6.48046875,1.5370705244123
24,0.707,0.1,50,"sudden",7.9669189453125,0.0465,13,"converged",5.3203125,1.4974531938326
25,0.5,0.3,50,"sudden",9.9609375,0.05,7,"converged",6.48046875,1.5370705244123
26,0.707,0.3,50,"sudden",8.80078125,0.0525,8,"converged",5.3203125,1.65418502202643
27,0.707,0.6,50,"sudden",7.63609313964844,0.054,16,"converged",5.3203125,1.43527154460352
